,rouge1,rouge2,rougeL,consistency,length_compliance,readability,composite_score,total_cost,successful_evaluations,total_evaluations,success_rate,cost_per_evaluation,cost_efficiency,roi,balanced_score,rank_composite,rank_efficiency,rank_balanced
BASE_1_CONSTRAINT_2,0.17167955167586735,0.05118662774290657,0.13372042327018482,0.7109234241045715,0.9038000000000002,0.4776,0.326577768157555,0.63820328,1000.0,1000.0,1.0,0.00063820328,511.7143367824042,51.17143367824042,153.74290547243154,1,1,1
BASE_1_CONSTRAINT_1,0.1583371009123238,0.046539204147478114,0.12365452418540088,0.7409479564847941,0.9666,0.4576,0.328919343203722,0.67916368,1000.0,1000.0,1.0,0.0006791636800000001,484.3005491750118,48.43005491750118,145.52040829274614,2,12,12
BASE_2_CONSTRAINT_1,0.16713905012172675,0.05050689172109795,0.13172726105091426,0.7161736797705064,0.9408000000000001,0.474,0.3289082345039508,0.66291888,1000.0,1000.0,1.0,0.00066291888,496.15155704111305,49.61515570411131,149.07570287648667,3,3,3
BASE_1,0.161953701617139,0.046195879313134285,0.1266289939583929,0.6956671565377222,0.9428000000000001,0.48560000000000003,0.32400970892218584,0.65453128,1000.0,1000.0,1.0,0.00065453128,495.02555312892883,49.50255531289288,148.7344727349242,4,4,4
BASE_3_CONSTRAINT_2,0.16543387266791895,0.04907107956045977,0.12988183078697893,0.6932287499240883,0.9468000000000001,0.45360000000000006,0.3229509648191278,0.66400048,1000.0,1000.0,1.0,0.00066400048,486.37158337465024,48.637158337465024,146.13754068776845,5,10,10
BASE_1_ADDITIONAL_1,0.15985985047995377,0.044511417288963684,0.12396426216852682,0.694621489077982,0.9498000000000001,0.4728,0.3219081012887552,0.67631408,1000.0,1000.0,1.0,0.00067631408,475.97427113857395,47.59742711385739,143.01761701247432,6,15,15
BASE_1_PARAPHRASE_2,0.15969391235244887,0.04487289498616712,0.12409607219223182,0.6660362349079025,0.9484000000000001,0.49720000000000003,0.3199625987679883,0.6566788800000001,1000.0,1000.0,1.0,0.0006566788800000001,487.2436262423854,48.724362624238545,146.39706169185322,7,9,9
BASE_1_DETAIL_1,0.15886445772969493,0.04474737813155977,0.12370196518779643,0.6726561336667878,0.9506,0.4832,0.3194425277734081,0.65908648,1000.0,1000.0,1.0,0.0006590864800000001,484.67467846314804,48.467467846314804,145.6260133083858,8,11,11
BASE_1_PARAPHRASE_1,0.16467536275112327,0.04770718428661204,0.1287592132320683,0.6730870598356833,0.9246000000000001,0.47540000000000004,0.3192209866428221,0.64660648,1000.0,1000.0,1.0,0.00064660648,493.68664947932797,49.3686649479328,148.32944953444837,9,7,7
BASE_2_DETAIL_2,0.1732491063688887,0.050569000572954236,0.1334334635164975,0.6722454052909175,0.8938000000000001,0.4832,0.32064036234636967,0.64895168,1000.0,1000.0,1.0,0.00064895168,494.0897330697559,49.40897330697559,148.4513681745692,10,6,6
BASE_2_CONSTRAINT_2,0.16431421934377802,0.04902828407578089,0.12803565300823821,0.6632531214891214,0.9424000000000001,0.49360000000000004,0.32139323879289355,0.6646244800000001,1000.0,1000.0,1.0,0.0006646244800000001,483.5711720893782,48.35711720893782,145.29632689396848,11,13,13
BASE_2_PARAPHRASE_1,0.17120237811951894,0.05256019547714818,0.13342868793056703,0.65990508818885,0.9072,0.5048,0.32207281894919787,0.6449372800000001,1000.0,1000.0,1.0,0.00064493728,499.3862642723923,49.93862642723923,150.0413302549821,12,2,2
BASE_2_DETAIL_1,0.16636650217068627,0.048999628748267826,0.12966057679512613,0.6593624956601023,0.925,0.5014,0.32070333726914374,0.65623688,1000.0,1000.0,1.0,0.00065623688,488.7005699361849,48.87005699361849,146.83466331694385,13,8,8
BASE_2,0.16787569685841217,0.050210439572165144,0.1320731079917215,0.6647003266529382,0.908,0.48460000000000003,0.3191808121686557,0.64490608,1000.0,1000.0,1.0,0.00064490608,494.9260397245064,49.49260397245063,148.70123848586996,14,5,5
BASE_1_TONE_1,0.15668090361604903,0.044124005482452176,0.12254304827638839,0.6715186397496695,0.9492,0.4528000000000001,0.31513832538521386,0.6610728800000001,1000.0,1000.0,1.0,0.0006610728800000001,476.70738721759966,47.67073872175997,143.23281299304952,15,14,14
